"Date","Price","Open","High","Low","Vol.","Change %"
"01/10/2003","197.23","196.47","205.23","193.82","","0.81%"
"01/09/2003","195.65","200.55","204.02","194.06","","-2.50%"
"01/08/2003","200.67","189.91","201.87","186.61","44.53M","5.67%"
"01/07/2003","189.91","194.79","195.84","187.72","1.05B","-2.52%"
"01/06/2003","194.82","196.97","207.25","194.80","1.00B","-1.11%"
"01/05/2003","197.00","182.77","198.17","181.10","963.37M","8.11%"
"01/04/2003","182.22","183.96","187.31","179.40","865.13M","-0.49%"
"01/03/2003","183.11","182.13","187.60","174.51","1.04B","1.13%"
"01/02/2003","181.06","178.28","183.34","171.45","887.08M","1.50%"
"01/01/2003","178.38","183.13","190.33","167.17","977.34M","-2.59%"
