"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2008","193.77","206.74","210.24","190.19","1.91B","-6.27%"
"01/06/2008","206.74","208.96","210.69","201.51","1.64B","-1.06%"
"01/05/2008","208.96","202.94","212.08","200.28","1.51B","2.89%"
"01/04/2008","203.09","193.04","207.79","193.04","1.49B","5.21%"
"01/03/2008","193.04","190.32","197.04","187.35","1.82B","1.40%"
"01/02/2008","190.38","201.06","208.95","189.43","1.53B","-5.31%"
"01/01/2008","201.06","216.11","223.85","192.17","1.98B","-6.96%"
"01/12/2007","216.11","215.97","225.00","214.99","1.22B","0.04%"
"01/11/2007","216.03","215.67","216.50","206.70","1.62B","0.10%"
"01/10/2007","215.81","202.43","216.16","199.68","1.29B","6.61%"
"01/09/2007","202.43","195.93","207.84","195.27","1.28B","3.29%"
"01/08/2007","195.99","192.46","206.30","185.63","2.44B","1.83%"
"01/07/2007","192.46","200.10","209.59","189.67","1.89B","-3.82%"
"01/06/2007","200.10","211.29","212.22","195.79","1.83B","-5.30%"
"01/05/2007","211.29","210.70","217.59","205.41","1.58B","0.28%"
"01/04/2007","210.70","202.34","215.76","202.34","1.27B","4.13%"
"01/03/2007","202.34","194.77","204.36","189.89","1.54B","3.89%"
"01/02/2007","194.77","185.78","203.55","185.78","1.26B","4.77%"
"01/01/2007","185.90","186.60","188.43","181.62","1.22B","-0.38%"
"01/12/2006","186.60","184.90","188.73","184.52","861.34M","0.92%"
"01/11/2006","184.90","181.48","185.13","178.36","1.11B","1.87%"
"01/10/2006","181.50","172.33","183.39","172.26","1.10B","5.32%"
"01/09/2006","172.33","175.65","176.03","169.83","968.08M","-1.89%"
"01/08/2006","175.65","171.69","175.89","170.22","1.15B","2.31%"
"01/07/2006","171.69","163.80","173.61","163.12","948.02M","4.82%"
"01/06/2006","163.80","160.40","165.00","159.10","1.20B","2.12%"
"01/05/2006","160.40","158.61","162.86","154.35","1.33B","1.13%"
"01/04/2006","158.61","156.40","160.21","152.62","1.00B","1.41%"
"01/03/2006","156.40","164.49","164.64","156.25","1.16B","-4.92%"
"01/02/2006","164.49","163.40","166.22","158.41","932.05M","0.67%"
"01/01/2006","163.40","159.66","168.01","159.45","998.71M","2.34%"
"01/12/2005","159.66","158.37","165.48","157.11","1.20B","0.81%"
"01/11/2005","158.37","159.46","161.28","153.18","1.65B","-0.68%"
"01/10/2005","159.46","170.43","172.88","151.35","1.37B","-6.44%"
"01/09/2005","170.43","164.27","171.47","163.54","1.22B","3.75%"
"01/08/2005","164.27","163.52","167.06","156.83","1.21B","0.46%"
"01/07/2005","163.52","160.24","165.33","157.83","878.58M","2.05%"
"01/06/2005","160.23","151.90","161.36","151.66","1.19B","5.48%"
"01/05/2005","151.90","152.19","153.47","145.29","1.44B","-0.20%"
"01/04/2005","152.21","147.88","152.64","146.28","1.21B","2.92%"
"01/03/2005","147.89","146.73","151.28","143.27","1.26B","0.79%"
"01/02/2005","146.73","144.31","149.12","142.85","1.01B","1.68%"
"01/01/2005","144.31","141.60","144.31","136.87","997.93M","1.91%"
"01/12/2004","141.60","138.34","142.80","135.08","1.23B","2.36%"
"01/11/2004","138.34","133.32","142.23","131.64","1.20B","3.77%"
"01/10/2004","133.32","127.41","134.04","127.41","1.18B","4.64%"
"01/09/2004","127.41","126.64","128.16","125.60","1.08B","0.61%"
"01/08/2004","126.64","122.21","126.65","122.07","853.32M","3.62%"
"01/07/2004","122.21","120.51","123.38","118.80","878.19M","1.41%"
"01/06/2004","120.51","119.04","122.19","116.92","933.01M","1.23%"
"01/05/2004","119.04","118.48","119.81","111.61","1.17B","0.47%"
"01/04/2004","118.48","123.31","124.34","116.77","1.19B","-3.92%"
"01/03/2004","123.31","122.40","124.21","120.05","1.33B","0.74%"
"01/02/2004","122.40","120.49","122.52","118.36","1.47B","1.51%"
"01/01/2004","120.58","118.49","121.99","117.36","1.57B","1.85%"
"01/12/2003","118.39","111.33","118.90","111.08","1.21B","6.43%"
"01/11/2003","111.24","111.72","112.79","107.54","1.15B","-0.37%"
"01/10/2003","111.65","110.72","113.50","110.63","1.30B","0.80%"
"01/09/2003","110.76","106.27","111.43","106.12","1.20B","4.23%"
"01/08/2003","106.26","104.81","106.52","101.86","1.19B","1.40%"
"01/07/2003","104.79","112.38","112.66","104.36","1.14B","-6.81%"
"01/06/2003","112.45","111.58","115.87","111.12","1.30B","0.85%"
"01/05/2003","111.50","101.42","112.85","99.47","1.39B","9.84%"
"01/04/2003","101.51","93.65","102.35","93.26","1.20B","8.45%"
"01/03/2003","93.60","89.53","95.06","87.66","1.14B","4.60%"
"01/02/2003","89.48","94.60","95.45","84.62","1.25B","-5.31%"
"01/01/2003","94.50","97.92","105.26","92.81","1.39B","-3.33%"
